timesteps,reward
2046.0,-1730.0
4092.0,-738.0
6138.0,-422.0
8184.0,-795.0
10230.0,-166.0
12276.0,3.89
14322.0,-28.8
16368.0,-145.0
18414.0,4.05
20460.0,-14.8
22506.0,113.0
24552.0,133.0
26598.0,-6.49
28644.0,85.0
30690.0,45.2
32736.0,165.0
34782.0,132.0
36828.0,109.0
38874.0,98.0
40920.0,116.0
42966.0,148.0
45012.0,138.0
47058.0,192.0
49104.0,152.0
51150.0,79.0
53196.0,149.0
55242.0,118.0
57288.0,155.0
59334.0,183.0
61380.0,171.0
63426.0,214.0
65472.0,195.0
67518.0,236.0
69564.0,230.0
71610.0,219.0
73656.0,197.0
75702.0,157.0
77748.0,200.0
79794.0,256.0
81840.0,247.0
83886.0,188.0
85932.0,244.0
87978.0,242.0
90024.0,249.0
92070.0,270.0
94116.0,288.0
96162.0,294.0
98208.0,290.0
100254.0,316.0
102300.0,324.0
104346.0,312.0
106392.0,337.0
108438.0,338.0
110484.0,333.0
112530.0,319.0
114576.0,348.0
116622.0,342.0
118668.0,348.0
120714.0,336.0
122760.0,338.0
124806.0,350.0
126852.0,359.0
128898.0,353.0
130944.0,338.0
132990.0,357.0
135036.0,369.0
137082.0,369.0
139128.0,365.0
141174.0,369.0
143220.0,369.0
145266.0,372.0
147312.0,383.0
149358.0,370.0
151404.0,383.0
153450.0,332.0
155496.0,378.0
157542.0,388.0
159588.0,383.0
161634.0,390.0
163680.0,392.0
165726.0,379.0
167772.0,385.0
169818.0,395.0
171864.0,395.0
173910.0,393.0
175956.0,385.0
178002.0,387.0
180048.0,394.0
182094.0,405.0
184140.0,405.0
186186.0,406.0
188232.0,410.0
190278.0,410.0
192324.0,412.0
194370.0,401.0
196416.0,418.0
198462.0,415.0
200508.0,422.0
202554.0,391.0
204600.0,424.0
206646.0,422.0
208692.0,425.0
210738.0,419.0
212784.0,425.0
214830.0,428.0
216876.0,427.0
218922.0,432.0
220968.0,429.0
223014.0,432.0
225060.0,407.0
227106.0,428.0
229152.0,434.0
231198.0,427.0
233244.0,433.0
235290.0,431.0
237336.0,435.0
239382.0,336.0
241428.0,427.0
243474.0,418.0
245520.0,375.0
247566.0,426.0
249612.0,438.0
251658.0,402.0
