timesteps,reward
2046.0,-820.0
4092.0,-1240.0
6138.0,-2220.0
8184.0,-340.0
10230.0,-202.0
12276.0,-179.0
14322.0,71.3
16368.0,-45.7
18414.0,-262.0
20460.0,19.2
22506.0,76.0
24552.0,104.0
26598.0,56.7
28644.0,106.0
30690.0,107.0
32736.0,65.1
34782.0,165.0
36828.0,108.0
38874.0,125.0
40920.0,133.0
42966.0,93.0
45012.0,183.0
47058.0,182.0
49104.0,193.0
51150.0,59.2
53196.0,158.0
55242.0,167.0
57288.0,155.0
59334.0,81.6
61380.0,138.0
63426.0,194.0
65472.0,207.0
67518.0,190.0
69564.0,221.0
71610.0,220.0
73656.0,233.0
75702.0,226.0
77748.0,204.0
79794.0,186.0
81840.0,243.0
83886.0,248.0
85932.0,248.0
87978.0,179.0
90024.0,238.0
92070.0,241.0
94116.0,212.0
96162.0,275.0
98208.0,241.0
100254.0,244.0
102300.0,245.0
104346.0,280.0
106392.0,295.0
108438.0,273.0
110484.0,288.0
112530.0,306.0
114576.0,299.0
116622.0,296.0
118668.0,316.0
120714.0,298.0
122760.0,337.0
124806.0,302.0
126852.0,335.0
128898.0,337.0
130944.0,332.0
132990.0,339.0
135036.0,344.0
137082.0,343.0
139128.0,325.0
141174.0,358.0
143220.0,364.0
145266.0,359.0
147312.0,357.0
149358.0,374.0
151404.0,353.0
153450.0,361.0
155496.0,363.0
157542.0,382.0
159588.0,382.0
161634.0,369.0
163680.0,382.0
165726.0,377.0
167772.0,390.0
169818.0,389.0
171864.0,355.0
173910.0,395.0
175956.0,364.0
178002.0,373.0
180048.0,378.0
182094.0,392.0
184140.0,400.0
186186.0,393.0
188232.0,394.0
190278.0,394.0
192324.0,404.0
194370.0,372.0
196416.0,392.0
198462.0,413.0
200508.0,409.0
202554.0,406.0
204600.0,373.0
206646.0,414.0
208692.0,420.0
210738.0,419.0
212784.0,328.0
214830.0,422.0
216876.0,424.0
218922.0,424.0
220968.0,414.0
223014.0,427.0
225060.0,392.0
227106.0,423.0
229152.0,346.0
231198.0,421.0
233244.0,429.0
235290.0,273.0
237336.0,420.0
239382.0,362.0
241428.0,429.0
243474.0,425.0
245520.0,421.0
247566.0,426.0
249612.0,433.0
251658.0,415.0
