timesteps,reward
2046.0,-949.0
4092.0,-685.0
6138.0,-662.0
8184.0,-1190.0
10230.0,-365.0
12276.0,-92.4
14322.0,55.2
16368.0,-114.0
18414.0,-57.3
20460.0,29.1
22506.0,28.8
24552.0,97.2
26598.0,-3.52
28644.0,30.9
30690.0,9.27
32736.0,10.6
34782.0,130.0
36828.0,169.0
38874.0,181.0
40920.0,163.0
42966.0,147.0
45012.0,193.0
47058.0,167.0
49104.0,189.0
51150.0,183.0
53196.0,217.0
55242.0,211.0
57288.0,171.0
59334.0,219.0
61380.0,147.0
63426.0,200.0
65472.0,202.0
67518.0,187.0
69564.0,216.0
71610.0,205.0
73656.0,229.0
75702.0,239.0
77748.0,212.0
79794.0,193.0
81840.0,226.0
83886.0,226.0
85932.0,248.0
87978.0,226.0
90024.0,282.0
92070.0,248.0
94116.0,307.0
96162.0,281.0
98208.0,303.0
100254.0,312.0
102300.0,322.0
104346.0,327.0
106392.0,348.0
108438.0,346.0
110484.0,333.0
112530.0,338.0
114576.0,344.0
116622.0,343.0
118668.0,347.0
120714.0,353.0
122760.0,342.0
124806.0,330.0
126852.0,355.0
128898.0,332.0
130944.0,358.0
132990.0,343.0
135036.0,359.0
137082.0,370.0
139128.0,371.0
141174.0,370.0
143220.0,376.0
145266.0,362.0
147312.0,361.0
149358.0,377.0
151404.0,366.0
153450.0,373.0
155496.0,380.0
157542.0,383.0
159588.0,370.0
161634.0,391.0
163680.0,383.0
165726.0,367.0
167772.0,379.0
169818.0,368.0
171864.0,404.0
173910.0,388.0
175956.0,391.0
178002.0,402.0
180048.0,406.0
182094.0,376.0
184140.0,395.0
186186.0,403.0
188232.0,403.0
190278.0,405.0
192324.0,414.0
194370.0,410.0
196416.0,394.0
198462.0,408.0
200508.0,413.0
202554.0,382.0
204600.0,421.0
206646.0,424.0
208692.0,390.0
210738.0,412.0
212784.0,415.0
214830.0,418.0
216876.0,424.0
218922.0,409.0
220968.0,426.0
223014.0,374.0
225060.0,414.0
227106.0,420.0
229152.0,395.0
231198.0,387.0
233244.0,427.0
235290.0,396.0
237336.0,432.0
239382.0,432.0
241428.0,403.0
243474.0,423.0
245520.0,376.0
247566.0,432.0
249612.0,436.0
251658.0,436.0
