timesteps,reward
2046.0,-7600.0
4092.0,-970.0
6138.0,-882.0
8184.0,-656.0
10230.0,-174.0
12276.0,-155.0
14322.0,-14.5
16368.0,57.6
18414.0,-2.59
20460.0,95.8
22506.0,118.0
24552.0,96.4
26598.0,53.8
28644.0,74.5
30690.0,-5.25
32736.0,94.6
34782.0,114.0
36828.0,127.0
38874.0,88.9
40920.0,141.0
42966.0,148.0
45012.0,162.0
47058.0,166.0
49104.0,175.0
51150.0,166.0
53196.0,129.0
55242.0,162.0
57288.0,178.0
59334.0,201.0
61380.0,124.0
63426.0,218.0
65472.0,195.0
67518.0,203.0
69564.0,205.0
71610.0,208.0
73656.0,199.0
75702.0,169.0
77748.0,126.0
79794.0,213.0
81840.0,206.0
83886.0,223.0
85932.0,217.0
87978.0,224.0
90024.0,245.0
92070.0,267.0
94116.0,242.0
96162.0,263.0
98208.0,276.0
100254.0,288.0
102300.0,293.0
104346.0,305.0
106392.0,287.0
108438.0,311.0
110484.0,255.0
112530.0,331.0
114576.0,336.0
116622.0,326.0
118668.0,330.0
120714.0,355.0
122760.0,345.0
124806.0,336.0
126852.0,330.0
128898.0,349.0
130944.0,333.0
132990.0,363.0
135036.0,346.0
137082.0,346.0
139128.0,336.0
141174.0,354.0
143220.0,358.0
145266.0,354.0
147312.0,371.0
149358.0,368.0
151404.0,371.0
153450.0,357.0
155496.0,374.0
157542.0,369.0
159588.0,347.0
161634.0,376.0
163680.0,345.0
165726.0,376.0
167772.0,386.0
169818.0,385.0
171864.0,370.0
173910.0,398.0
175956.0,393.0
178002.0,389.0
180048.0,392.0
182094.0,404.0
184140.0,362.0
186186.0,399.0
188232.0,404.0
190278.0,386.0
192324.0,387.0
194370.0,404.0
196416.0,408.0
198462.0,383.0
200508.0,414.0
202554.0,389.0
204600.0,412.0
206646.0,417.0
208692.0,400.0
210738.0,388.0
212784.0,398.0
214830.0,367.0
216876.0,414.0
218922.0,389.0
220968.0,411.0
223014.0,410.0
225060.0,421.0
227106.0,423.0
229152.0,400.0
231198.0,420.0
233244.0,413.0
235290.0,370.0
237336.0,409.0
239382.0,420.0
241428.0,408.0
243474.0,416.0
245520.0,406.0
247566.0,427.0
249612.0,397.0
251658.0,420.0
