timesteps,reward
2046.0,-1960.0
4092.0,-593.0
6138.0,-460.0
8184.0,-528.0
10230.0,-170.0
12276.0,-172.0
14322.0,-121.0
16368.0,-115.0
18414.0,-78.7
20460.0,89.6
22506.0,-732.0
24552.0,-41.4
26598.0,116.0
28644.0,86.1
30690.0,118.0
32736.0,109.0
34782.0,139.0
36828.0,148.0
38874.0,170.0
40920.0,157.0
42966.0,167.0
45012.0,124.0
47058.0,-11.8
49104.0,154.0
51150.0,148.0
53196.0,183.0
55242.0,213.0
57288.0,188.0
59334.0,157.0
61380.0,217.0
63426.0,180.0
65472.0,201.0
67518.0,231.0
69564.0,198.0
71610.0,248.0
73656.0,223.0
75702.0,254.0
77748.0,250.0
79794.0,246.0
81840.0,261.0
83886.0,253.0
85932.0,274.0
87978.0,285.0
90024.0,301.0
92070.0,296.0
94116.0,284.0
96162.0,304.0
98208.0,312.0
100254.0,325.0
102300.0,331.0
104346.0,333.0
106392.0,344.0
108438.0,342.0
110484.0,328.0
112530.0,346.0
114576.0,309.0
116622.0,346.0
118668.0,345.0
120714.0,307.0
122760.0,368.0
124806.0,357.0
126852.0,371.0
128898.0,366.0
130944.0,360.0
132990.0,360.0
135036.0,378.0
137082.0,370.0
139128.0,370.0
141174.0,368.0
143220.0,369.0
145266.0,367.0
147312.0,376.0
149358.0,378.0
151404.0,387.0
153450.0,390.0
155496.0,380.0
157542.0,383.0
159588.0,387.0
161634.0,368.0
163680.0,358.0
165726.0,388.0
167772.0,387.0
169818.0,379.0
171864.0,407.0
173910.0,384.0
175956.0,401.0
178002.0,410.0
180048.0,392.0
182094.0,411.0
184140.0,402.0
186186.0,368.0
188232.0,414.0
190278.0,408.0
192324.0,421.0
194370.0,422.0
196416.0,391.0
198462.0,417.0
200508.0,421.0
202554.0,424.0
204600.0,395.0
206646.0,422.0
208692.0,424.0
210738.0,423.0
212784.0,421.0
214830.0,414.0
216876.0,387.0
218922.0,424.0
220968.0,427.0
223014.0,363.0
225060.0,431.0
227106.0,432.0
229152.0,431.0
231198.0,432.0
233244.0,434.0
235290.0,437.0
237336.0,405.0
239382.0,427.0
241428.0,431.0
243474.0,327.0
245520.0,427.0
247566.0,401.0
249612.0,429.0
251658.0,427.0
