timesteps,reward
2046.0,-1680.0
4092.0,-992.0
6138.0,-199.0
8184.0,-525.0
10230.0,-292.0
12276.0,-119.0
14322.0,-80.1
16368.0,-88.4
18414.0,87.2
20460.0,61.4
22506.0,104.0
24552.0,-7.88
26598.0,47.1
28644.0,64.2
30690.0,86.3
32736.0,143.0
34782.0,118.0
36828.0,166.0
38874.0,163.0
40920.0,108.0
42966.0,116.0
45012.0,123.0
47058.0,181.0
49104.0,154.0
51150.0,167.0
53196.0,174.0
55242.0,183.0
57288.0,162.0
59334.0,214.0
61380.0,221.0
63426.0,191.0
65472.0,191.0
67518.0,212.0
69564.0,212.0
71610.0,222.0
73656.0,241.0
75702.0,240.0
77748.0,247.0
79794.0,248.0
81840.0,243.0
83886.0,190.0
85932.0,253.0
87978.0,235.0
90024.0,280.0
92070.0,279.0
94116.0,275.0
96162.0,295.0
98208.0,301.0
100254.0,323.0
102300.0,293.0
104346.0,316.0
106392.0,322.0
108438.0,323.0
110484.0,339.0
112530.0,328.0
114576.0,337.0
116622.0,324.0
118668.0,337.0
120714.0,335.0
122760.0,353.0
124806.0,344.0
126852.0,360.0
128898.0,356.0
130944.0,367.0
132990.0,339.0
135036.0,347.0
137082.0,366.0
139128.0,370.0
141174.0,358.0
143220.0,366.0
145266.0,360.0
147312.0,367.0
149358.0,379.0
151404.0,350.0
153450.0,374.0
155496.0,383.0
157542.0,374.0
159588.0,388.0
161634.0,371.0
163680.0,378.0
165726.0,384.0
167772.0,379.0
169818.0,389.0
171864.0,382.0
173910.0,370.0
175956.0,377.0
178002.0,393.0
180048.0,392.0
182094.0,403.0
184140.0,381.0
186186.0,391.0
188232.0,327.0
190278.0,395.0
192324.0,388.0
194370.0,375.0
196416.0,391.0
198462.0,399.0
200508.0,407.0
202554.0,405.0
204600.0,410.0
206646.0,391.0
208692.0,417.0
210738.0,407.0
212784.0,418.0
214830.0,419.0
216876.0,398.0
218922.0,419.0
220968.0,422.0
223014.0,412.0
225060.0,424.0
227106.0,429.0
229152.0,429.0
231198.0,358.0
233244.0,429.0
235290.0,430.0
237336.0,377.0
239382.0,393.0
241428.0,392.0
243474.0,434.0
245520.0,430.0
247566.0,434.0
249612.0,397.0
251658.0,418.0
