timesteps,reward
2046.0,-1090.0
4092.0,-625.0
6138.0,-721.0
8184.0,-504.0
10230.0,-312.0
12276.0,-34.0
14322.0,-11.6
16368.0,43.2
18414.0,107.0
20460.0,69.7
22506.0,141.0
24552.0,74.6
26598.0,84.8
28644.0,143.0
30690.0,146.0
32736.0,111.0
34782.0,115.0
36828.0,168.0
38874.0,84.6
40920.0,103.0
42966.0,144.0
45012.0,167.0
47058.0,116.0
49104.0,26.8
51150.0,177.0
53196.0,184.0
55242.0,173.0
57288.0,185.0
59334.0,223.0
61380.0,215.0
63426.0,220.0
65472.0,241.0
67518.0,205.0
69564.0,249.0
71610.0,244.0
73656.0,249.0
75702.0,274.0
77748.0,280.0
79794.0,260.0
81840.0,262.0
83886.0,199.0
85932.0,261.0
87978.0,266.0
90024.0,244.0
92070.0,270.0
94116.0,285.0
96162.0,300.0
98208.0,319.0
100254.0,320.0
102300.0,314.0
104346.0,327.0
106392.0,324.0
108438.0,324.0
110484.0,334.0
112530.0,342.0
114576.0,345.0
116622.0,347.0
118668.0,348.0
120714.0,339.0
122760.0,357.0
124806.0,346.0
126852.0,363.0
128898.0,353.0
130944.0,367.0
132990.0,368.0
135036.0,369.0
137082.0,368.0
139128.0,370.0
141174.0,368.0
143220.0,365.0
145266.0,374.0
147312.0,376.0
149358.0,378.0
151404.0,384.0
153450.0,381.0
155496.0,382.0
157542.0,383.0
159588.0,386.0
161634.0,393.0
163680.0,387.0
165726.0,394.0
167772.0,387.0
169818.0,400.0
171864.0,382.0
173910.0,401.0
175956.0,397.0
178002.0,401.0
180048.0,405.0
182094.0,409.0
184140.0,411.0
186186.0,410.0
188232.0,407.0
190278.0,380.0
192324.0,409.0
194370.0,407.0
196416.0,415.0
198462.0,415.0
200508.0,407.0
202554.0,410.0
204600.0,418.0
206646.0,425.0
208692.0,408.0
210738.0,418.0
212784.0,421.0
214830.0,416.0
216876.0,423.0
218922.0,426.0
220968.0,429.0
223014.0,429.0
225060.0,415.0
227106.0,434.0
229152.0,435.0
231198.0,436.0
233244.0,366.0
235290.0,431.0
237336.0,426.0
239382.0,431.0
241428.0,432.0
243474.0,390.0
245520.0,435.0
247566.0,407.0
249612.0,436.0
251658.0,433.0
