timesteps,reward
2046.0,-6030.0
4092.0,-1120.0
6138.0,-464.0
8184.0,-761.0
10230.0,-217.0
12276.0,-111.0
14322.0,-180.0
16368.0,67.6
18414.0,-63.7
20460.0,-100.0
22506.0,120.0
24552.0,103.0
26598.0,77.1
28644.0,114.0
30690.0,109.0
32736.0,100.0
34782.0,71.0
36828.0,143.0
38874.0,142.0
40920.0,110.0
42966.0,137.0
45012.0,131.0
47058.0,199.0
49104.0,171.0
51150.0,190.0
53196.0,152.0
55242.0,158.0
57288.0,192.0
59334.0,205.0
61380.0,141.0
63426.0,237.0
65472.0,222.0
67518.0,153.0
69564.0,224.0
71610.0,192.0
73656.0,189.0
75702.0,227.0
77748.0,262.0
79794.0,263.0
81840.0,266.0
83886.0,273.0
85932.0,276.0
87978.0,294.0
90024.0,295.0
92070.0,297.0
94116.0,301.0
96162.0,311.0
98208.0,297.0
100254.0,336.0
102300.0,335.0
104346.0,335.0
106392.0,326.0
108438.0,334.0
110484.0,331.0
112530.0,343.0
114576.0,351.0
116622.0,343.0
118668.0,360.0
120714.0,362.0
122760.0,349.0
124806.0,361.0
126852.0,355.0
128898.0,342.0
130944.0,354.0
132990.0,356.0
135036.0,355.0
137082.0,341.0
139128.0,365.0
141174.0,342.0
143220.0,358.0
145266.0,373.0
147312.0,381.0
149358.0,374.0
151404.0,361.0
153450.0,365.0
155496.0,380.0
157542.0,379.0
159588.0,379.0
161634.0,373.0
163680.0,378.0
165726.0,373.0
167772.0,365.0
169818.0,388.0
171864.0,380.0
173910.0,374.0
175956.0,392.0
178002.0,387.0
180048.0,386.0
182094.0,374.0
184140.0,364.0
186186.0,399.0
188232.0,406.0
190278.0,369.0
192324.0,402.0
194370.0,384.0
196416.0,395.0
198462.0,399.0
200508.0,400.0
202554.0,411.0
204600.0,401.0
206646.0,410.0
208692.0,390.0
210738.0,420.0
212784.0,418.0
214830.0,420.0
216876.0,419.0
218922.0,404.0
220968.0,383.0
223014.0,425.0
225060.0,424.0
227106.0,424.0
229152.0,390.0
231198.0,427.0
233244.0,419.0
235290.0,400.0
237336.0,420.0
239382.0,338.0
241428.0,319.0
243474.0,425.0
245520.0,393.0
247566.0,419.0
249612.0,423.0
251658.0,387.0
