timesteps,reward
2046.0,-1650.0
4092.0,-1080.0
6138.0,-959.0
8184.0,-284.0
10230.0,-6.33
12276.0,-183.0
14322.0,-207.0
16368.0,-223.0
18414.0,73.1
20460.0,61.0
22506.0,-364.0
24552.0,53.5
26598.0,42.6
28644.0,127.0
30690.0,118.0
32736.0,100.0
34782.0,112.0
36828.0,160.0
38874.0,154.0
40920.0,154.0
42966.0,181.0
45012.0,75.3
47058.0,154.0
49104.0,176.0
51150.0,41.5
53196.0,166.0
55242.0,179.0
57288.0,180.0
59334.0,192.0
61380.0,210.0
63426.0,199.0
65472.0,206.0
67518.0,193.0
69564.0,192.0
71610.0,216.0
73656.0,182.0
75702.0,237.0
77748.0,256.0
79794.0,273.0
81840.0,265.0
83886.0,268.0
85932.0,264.0
87978.0,272.0
90024.0,295.0
92070.0,307.0
94116.0,309.0
96162.0,322.0
98208.0,317.0
100254.0,316.0
102300.0,324.0
104346.0,331.0
106392.0,330.0
108438.0,333.0
110484.0,317.0
112530.0,327.0
114576.0,328.0
116622.0,325.0
118668.0,355.0
120714.0,353.0
122760.0,357.0
124806.0,362.0
126852.0,364.0
128898.0,347.0
130944.0,364.0
132990.0,332.0
135036.0,371.0
137082.0,373.0
139128.0,372.0
141174.0,375.0
143220.0,370.0
145266.0,377.0
147312.0,371.0
149358.0,388.0
151404.0,379.0
153450.0,381.0
155496.0,375.0
157542.0,380.0
159588.0,365.0
161634.0,378.0
163680.0,390.0
165726.0,386.0
167772.0,401.0
169818.0,402.0
171864.0,400.0
173910.0,392.0
175956.0,361.0
178002.0,394.0
180048.0,399.0
182094.0,394.0
184140.0,408.0
186186.0,404.0
188232.0,395.0
190278.0,414.0
192324.0,409.0
194370.0,404.0
196416.0,422.0
198462.0,412.0
200508.0,422.0
202554.0,415.0
204600.0,405.0
206646.0,411.0
208692.0,362.0
210738.0,418.0
212784.0,420.0
214830.0,379.0
216876.0,424.0
218922.0,394.0
220968.0,425.0
223014.0,431.0
225060.0,423.0
227106.0,425.0
229152.0,427.0
231198.0,428.0
233244.0,376.0
235290.0,395.0
237336.0,431.0
239382.0,392.0
241428.0,429.0
243474.0,380.0
245520.0,430.0
247566.0,397.0
249612.0,401.0
251658.0,426.0
