timesteps,reward
2046.0,-1890.0
4092.0,-2000.0
6138.0,-1440.0
8184.0,-1940.0
10230.0,-994.0
12276.0,-480.0
14322.0,-787.0
16368.0,-81.4
18414.0,-71.9
20460.0,-148.0
22506.0,36.1
24552.0,24.6
26598.0,63.1
28644.0,85.6
30690.0,-20.0
32736.0,95.2
34782.0,111.0
36828.0,62.9
38874.0,51.1
40920.0,76.1
42966.0,89.1
45012.0,103.0
47058.0,131.0
49104.0,134.0
51150.0,174.0
53196.0,148.0
55242.0,94.4
57288.0,152.0
59334.0,121.0
61380.0,142.0
63426.0,174.0
65472.0,157.0
67518.0,164.0
69564.0,161.0
71610.0,198.0
73656.0,169.0
75702.0,181.0
77748.0,171.0
79794.0,195.0
81840.0,171.0
83886.0,184.0
85932.0,213.0
87978.0,220.0
90024.0,188.0
92070.0,222.0
94116.0,186.0
96162.0,215.0
98208.0,215.0
100254.0,240.0
102300.0,240.0
104346.0,238.0
106392.0,267.0
108438.0,265.0
110484.0,270.0
112530.0,283.0
114576.0,280.0
116622.0,271.0
118668.0,273.0
120714.0,298.0
122760.0,284.0
124806.0,286.0
126852.0,292.0
128898.0,306.0
130944.0,316.0
132990.0,326.0
135036.0,304.0
137082.0,303.0
139128.0,320.0
141174.0,329.0
143220.0,320.0
145266.0,327.0
147312.0,326.0
149358.0,353.0
151404.0,341.0
153450.0,356.0
155496.0,358.0
157542.0,350.0
159588.0,350.0
161634.0,357.0
163680.0,343.0
165726.0,357.0
167772.0,366.0
169818.0,352.0
171864.0,362.0
173910.0,372.0
175956.0,366.0
178002.0,341.0
180048.0,346.0
182094.0,276.0
184140.0,354.0
186186.0,375.0
188232.0,358.0
190278.0,377.0
192324.0,376.0
194370.0,372.0
196416.0,361.0
198462.0,379.0
200508.0,382.0
202554.0,367.0
204600.0,383.0
206646.0,341.0
208692.0,395.0
210738.0,396.0
212784.0,380.0
214830.0,393.0
216876.0,346.0
218922.0,286.0
220968.0,396.0
223014.0,311.0
225060.0,396.0
227106.0,401.0
229152.0,348.0
231198.0,345.0
233244.0,408.0
235290.0,335.0
237336.0,411.0
239382.0,412.0
241428.0,408.0
243474.0,286.0
245520.0,408.0
247566.0,337.0
249612.0,406.0
251658.0,401.0
