timesteps,reward
2046.0,-1910.0
4092.0,-1300.0
6138.0,-3640.0
8184.0,-720.0
10230.0,-861.0
12276.0,-460.0
14322.0,-416.0
16368.0,-348.0
18414.0,-274.0
20460.0,-142.0
22506.0,13.4
24552.0,33.4
26598.0,52.1
28644.0,-31.8
30690.0,111.0
32736.0,142.0
34782.0,141.0
36828.0,143.0
38874.0,146.0
40920.0,124.0
42966.0,104.0
45012.0,128.0
47058.0,165.0
49104.0,160.0
51150.0,139.0
53196.0,131.0
55242.0,140.0
57288.0,160.0
59334.0,183.0
61380.0,146.0
63426.0,131.0
65472.0,174.0
67518.0,169.0
69564.0,194.0
71610.0,147.0
73656.0,152.0
75702.0,174.0
77748.0,173.0
79794.0,154.0
81840.0,162.0
83886.0,192.0
85932.0,189.0
87978.0,191.0
90024.0,221.0
92070.0,215.0
94116.0,248.0
96162.0,225.0
98208.0,244.0
100254.0,251.0
102300.0,261.0
104346.0,269.0
106392.0,254.0
108438.0,274.0
110484.0,288.0
112530.0,288.0
114576.0,291.0
116622.0,303.0
118668.0,311.0
120714.0,298.0
122760.0,304.0
124806.0,307.0
126852.0,320.0
128898.0,314.0
130944.0,328.0
132990.0,332.0
135036.0,345.0
137082.0,341.0
139128.0,340.0
141174.0,337.0
143220.0,328.0
145266.0,348.0
147312.0,348.0
149358.0,351.0
151404.0,352.0
153450.0,330.0
155496.0,338.0
157542.0,332.0
159588.0,328.0
161634.0,339.0
163680.0,357.0
165726.0,352.0
167772.0,355.0
169818.0,364.0
171864.0,367.0
173910.0,336.0
175956.0,362.0
178002.0,368.0
180048.0,358.0
182094.0,376.0
184140.0,374.0
186186.0,367.0
188232.0,382.0
190278.0,381.0
192324.0,385.0
194370.0,358.0
196416.0,388.0
198462.0,383.0
200508.0,394.0
202554.0,392.0
204600.0,394.0
206646.0,397.0
208692.0,380.0
210738.0,406.0
212784.0,380.0
214830.0,389.0
216876.0,404.0
218922.0,366.0
220968.0,396.0
223014.0,407.0
225060.0,392.0
227106.0,395.0
229152.0,409.0
231198.0,406.0
233244.0,411.0
235290.0,410.0
237336.0,395.0
239382.0,413.0
241428.0,415.0
243474.0,412.0
245520.0,383.0
247566.0,363.0
249612.0,411.0
251658.0,404.0
