timesteps,reward
2046.0,-2200.0
4092.0,-2150.0
6138.0,-2400.0
8184.0,-912.0
10230.0,-1500.0
12276.0,-624.0
14322.0,-270.0
16368.0,-294.0
18414.0,-546.0
20460.0,34.7
22506.0,-119.0
24552.0,-92.1
26598.0,21.1
28644.0,46.9
30690.0,38.3
32736.0,52.5
34782.0,90.5
36828.0,55.3
38874.0,86.7
40920.0,140.0
42966.0,-35.4
45012.0,111.0
47058.0,1.26
49104.0,136.0
51150.0,126.0
53196.0,134.0
55242.0,192.0
57288.0,165.0
59334.0,153.0
61380.0,156.0
63426.0,143.0
65472.0,176.0
67518.0,172.0
69564.0,204.0
71610.0,158.0
73656.0,197.0
75702.0,192.0
77748.0,182.0
79794.0,199.0
81840.0,192.0
83886.0,198.0
85932.0,215.0
87978.0,238.0
90024.0,221.0
92070.0,233.0
94116.0,249.0
96162.0,242.0
98208.0,256.0
100254.0,247.0
102300.0,267.0
104346.0,232.0
106392.0,271.0
108438.0,284.0
110484.0,282.0
112530.0,287.0
114576.0,301.0
116622.0,321.0
118668.0,318.0
120714.0,314.0
122760.0,310.0
124806.0,310.0
126852.0,321.0
128898.0,321.0
130944.0,324.0
132990.0,316.0
135036.0,337.0
137082.0,334.0
139128.0,337.0
141174.0,351.0
143220.0,346.0
145266.0,330.0
147312.0,342.0
149358.0,352.0
151404.0,361.0
153450.0,347.0
155496.0,331.0
157542.0,349.0
159588.0,368.0
161634.0,353.0
163680.0,372.0
165726.0,356.0
167772.0,373.0
169818.0,378.0
171864.0,383.0
173910.0,363.0
175956.0,385.0
178002.0,355.0
180048.0,388.0
182094.0,391.0
184140.0,390.0
186186.0,391.0
188232.0,378.0
190278.0,333.0
192324.0,392.0
194370.0,400.0
196416.0,392.0
198462.0,402.0
200508.0,312.0
202554.0,401.0
204600.0,392.0
206646.0,354.0
208692.0,407.0
210738.0,349.0
212784.0,409.0
214830.0,279.0
216876.0,410.0
218922.0,358.0
220968.0,410.0
223014.0,413.0
225060.0,412.0
227106.0,416.0
229152.0,405.0
231198.0,411.0
233244.0,369.0
235290.0,416.0
237336.0,339.0
239382.0,247.0
241428.0,342.0
243474.0,270.0
245520.0,393.0
247566.0,404.0
249612.0,406.0
251658.0,400.0
