timesteps,reward
2046.0,-3590.0
4092.0,-1470.0
6138.0,-928.0
8184.0,-1260.0
10230.0,-452.0
12276.0,-420.0
14322.0,-189.0
16368.0,-345.0
18414.0,-245.0
20460.0,-48.0
22506.0,-8.31
24552.0,58.4
26598.0,49.0
28644.0,73.7
30690.0,39.8
32736.0,96.0
34782.0,95.0
36828.0,112.0
38874.0,126.0
40920.0,114.0
42966.0,141.0
45012.0,163.0
47058.0,105.0
49104.0,152.0
51150.0,162.0
53196.0,168.0
55242.0,150.0
57288.0,138.0
59334.0,137.0
61380.0,162.0
63426.0,162.0
65472.0,200.0
67518.0,92.2
69564.0,196.0
71610.0,181.0
73656.0,179.0
75702.0,194.0
77748.0,201.0
79794.0,210.0
81840.0,200.0
83886.0,127.0
85932.0,224.0
87978.0,223.0
90024.0,229.0
92070.0,242.0
94116.0,240.0
96162.0,267.0
98208.0,246.0
100254.0,283.0
102300.0,268.0
104346.0,274.0
106392.0,280.0
108438.0,294.0
110484.0,277.0
112530.0,306.0
114576.0,301.0
116622.0,304.0
118668.0,303.0
120714.0,300.0
122760.0,308.0
124806.0,331.0
126852.0,320.0
128898.0,333.0
130944.0,330.0
132990.0,330.0
135036.0,346.0
137082.0,338.0
139128.0,355.0
141174.0,340.0
143220.0,345.0
145266.0,353.0
147312.0,363.0
149358.0,349.0
151404.0,355.0
153450.0,357.0
155496.0,351.0
157542.0,351.0
159588.0,365.0
161634.0,366.0
163680.0,368.0
165726.0,360.0
167772.0,358.0
169818.0,375.0
171864.0,370.0
173910.0,377.0
175956.0,357.0
178002.0,380.0
180048.0,392.0
182094.0,388.0
184140.0,393.0
186186.0,387.0
188232.0,394.0
190278.0,392.0
192324.0,400.0
194370.0,405.0
196416.0,402.0
198462.0,388.0
200508.0,335.0
202554.0,394.0
204600.0,407.0
206646.0,403.0
208692.0,408.0
210738.0,411.0
212784.0,397.0
214830.0,362.0
216876.0,412.0
218922.0,402.0
220968.0,199.0
223014.0,414.0
225060.0,363.0
227106.0,416.0
229152.0,304.0
231198.0,347.0
233244.0,414.0
235290.0,367.0
237336.0,416.0
239382.0,175.0
241428.0,319.0
243474.0,342.0
245520.0,215.0
247566.0,405.0
249612.0,418.0
251658.0,318.0
