timesteps,reward
2046.0,-2860.0
4092.0,-2450.0
6138.0,-2240.0
8184.0,-1220.0
10230.0,-807.0
12276.0,-618.0
14322.0,-413.0
16368.0,-464.0
18414.0,-160.0
20460.0,-156.0
22506.0,-7.62
24552.0,-76.4
26598.0,88.0
28644.0,-20.0
30690.0,-49.9
32736.0,81.2
34782.0,-8.76
36828.0,40.5
38874.0,102.0
40920.0,102.0
42966.0,166.0
45012.0,155.0
47058.0,62.5
49104.0,109.0
51150.0,159.0
53196.0,86.6
55242.0,148.0
57288.0,111.0
59334.0,99.4
61380.0,89.8
63426.0,62.7
65472.0,97.8
67518.0,152.0
69564.0,157.0
71610.0,39.6
73656.0,125.0
75702.0,154.0
77748.0,182.0
79794.0,136.0
81840.0,181.0
83886.0,185.0
85932.0,189.0
87978.0,190.0
90024.0,179.0
92070.0,166.0
94116.0,186.0
96162.0,199.0
98208.0,182.0
100254.0,171.0
102300.0,144.0
104346.0,207.0
106392.0,190.0
108438.0,237.0
110484.0,229.0
112530.0,239.0
114576.0,245.0
116622.0,265.0
118668.0,239.0
120714.0,252.0
122760.0,253.0
124806.0,255.0
126852.0,273.0
128898.0,282.0
130944.0,286.0
132990.0,273.0
135036.0,294.0
137082.0,285.0
139128.0,222.0
141174.0,286.0
143220.0,297.0
145266.0,307.0
147312.0,312.0
149358.0,303.0
151404.0,321.0
153450.0,326.0
155496.0,330.0
157542.0,319.0
159588.0,328.0
161634.0,339.0
163680.0,350.0
165726.0,346.0
167772.0,353.0
169818.0,336.0
171864.0,338.0
173910.0,342.0
175956.0,323.0
178002.0,355.0
180048.0,358.0
182094.0,353.0
184140.0,358.0
186186.0,339.0
188232.0,359.0
190278.0,363.0
192324.0,363.0
194370.0,363.0
196416.0,381.0
198462.0,371.0
200508.0,353.0
202554.0,375.0
204600.0,384.0
206646.0,365.0
208692.0,380.0
210738.0,386.0
212784.0,390.0
214830.0,375.0
216876.0,363.0
218922.0,388.0
220968.0,366.0
223014.0,389.0
225060.0,395.0
227106.0,392.0
229152.0,403.0
231198.0,405.0
233244.0,405.0
235290.0,390.0
237336.0,349.0
239382.0,400.0
241428.0,295.0
243474.0,376.0
245520.0,336.0
247566.0,354.0
249612.0,347.0
251658.0,411.0
