timesteps,reward
2046.0,-2410.0
4092.0,-1960.0
6138.0,-1040.0
8184.0,-1420.0
10230.0,-1530.0
12276.0,-514.0
14322.0,-495.0
16368.0,-83.3
18414.0,-231.0
20460.0,-147.0
22506.0,-135.0
24552.0,76.0
26598.0,73.3
28644.0,18.2
30690.0,94.1
32736.0,99.3
34782.0,-15.3
36828.0,155.0
38874.0,133.0
40920.0,18.7
42966.0,145.0
45012.0,148.0
47058.0,124.0
49104.0,161.0
51150.0,147.0
53196.0,163.0
55242.0,183.0
57288.0,145.0
59334.0,177.0
61380.0,190.0
63426.0,196.0
65472.0,197.0
67518.0,200.0
69564.0,203.0
71610.0,202.0
73656.0,206.0
75702.0,204.0
77748.0,142.0
79794.0,178.0
81840.0,213.0
83886.0,218.0
85932.0,212.0
87978.0,214.0
90024.0,233.0
92070.0,225.0
94116.0,256.0
96162.0,248.0
98208.0,267.0
100254.0,262.0
102300.0,267.0
104346.0,277.0
106392.0,287.0
108438.0,219.0
110484.0,293.0
112530.0,288.0
114576.0,298.0
116622.0,305.0
118668.0,288.0
120714.0,309.0
122760.0,319.0
124806.0,279.0
126852.0,317.0
128898.0,309.0
130944.0,312.0
132990.0,327.0
135036.0,310.0
137082.0,339.0
139128.0,348.0
141174.0,343.0
143220.0,331.0
145266.0,356.0
147312.0,340.0
149358.0,356.0
151404.0,349.0
153450.0,356.0
155496.0,367.0
157542.0,371.0
159588.0,358.0
161634.0,368.0
163680.0,376.0
165726.0,359.0
167772.0,356.0
169818.0,368.0
171864.0,374.0
173910.0,363.0
175956.0,360.0
178002.0,369.0
180048.0,388.0
182094.0,375.0
184140.0,381.0
186186.0,385.0
188232.0,392.0
190278.0,395.0
192324.0,386.0
194370.0,392.0
196416.0,383.0
198462.0,383.0
200508.0,385.0
202554.0,401.0
204600.0,396.0
206646.0,388.0
208692.0,407.0
210738.0,391.0
212784.0,406.0
214830.0,389.0
216876.0,405.0
218922.0,408.0
220968.0,408.0
223014.0,407.0
225060.0,393.0
227106.0,394.0
229152.0,416.0
231198.0,412.0
233244.0,392.0
235290.0,359.0
237336.0,407.0
239382.0,406.0
241428.0,404.0
243474.0,403.0
245520.0,371.0
247566.0,405.0
249612.0,403.0
251658.0,400.0
