timesteps,reward
2046.0,-3420.0
4092.0,-2200.0
6138.0,-1870.0
8184.0,-1290.0
10230.0,-767.0
12276.0,-591.0
14322.0,-378.0
16368.0,-357.0
18414.0,-133.0
20460.0,-70.0
22506.0,-125.0
24552.0,-88.0
26598.0,-22.7
28644.0,72.0
30690.0,82.4
32736.0,24.6
34782.0,91.7
36828.0,99.8
38874.0,157.0
40920.0,141.0
42966.0,60.7
45012.0,105.0
47058.0,135.0
49104.0,-418.0
51150.0,161.0
53196.0,121.0
55242.0,171.0
57288.0,170.0
59334.0,173.0
61380.0,169.0
63426.0,155.0
65472.0,135.0
67518.0,172.0
69564.0,55.7
71610.0,13.2
73656.0,170.0
75702.0,120.0
77748.0,180.0
79794.0,191.0
81840.0,184.0
83886.0,190.0
85932.0,202.0
87978.0,204.0
90024.0,96.0
92070.0,202.0
94116.0,207.0
96162.0,225.0
98208.0,211.0
100254.0,191.0
102300.0,258.0
104346.0,236.0
106392.0,260.0
108438.0,252.0
110484.0,271.0
112530.0,282.0
114576.0,283.0
116622.0,285.0
118668.0,301.0
120714.0,297.0
122760.0,296.0
124806.0,311.0
126852.0,237.0
128898.0,313.0
130944.0,319.0
132990.0,311.0
135036.0,320.0
137082.0,333.0
139128.0,344.0
141174.0,335.0
143220.0,331.0
145266.0,343.0
147312.0,351.0
149358.0,347.0
151404.0,353.0
153450.0,342.0
155496.0,362.0
157542.0,363.0
159588.0,368.0
161634.0,371.0
163680.0,363.0
165726.0,377.0
167772.0,360.0
169818.0,376.0
171864.0,377.0
173910.0,382.0
175956.0,350.0
178002.0,378.0
180048.0,386.0
182094.0,360.0
184140.0,377.0
186186.0,389.0
188232.0,376.0
190278.0,381.0
192324.0,389.0
194370.0,365.0
196416.0,392.0
198462.0,376.0
200508.0,391.0
202554.0,403.0
204600.0,397.0
206646.0,395.0
208692.0,405.0
210738.0,392.0
212784.0,393.0
214830.0,398.0
216876.0,402.0
218922.0,328.0
220968.0,407.0
223014.0,399.0
225060.0,400.0
227106.0,406.0
229152.0,399.0
231198.0,324.0
233244.0,405.0
235290.0,403.0
237336.0,198.0
239382.0,384.0
241428.0,349.0
243474.0,353.0
245520.0,358.0
247566.0,353.0
249612.0,279.0
251658.0,350.0
