timesteps,reward
2046.0,-1520.0
4092.0,-2120.0
6138.0,-1270.0
8184.0,-1570.0
10230.0,-1730.0
12276.0,-424.0
14322.0,-516.0
16368.0,-125.0
18414.0,-189.0
20460.0,-11.5
22506.0,-348.0
24552.0,22.1
26598.0,96.8
28644.0,-120.0
30690.0,111.0
32736.0,115.0
34782.0,63.9
36828.0,133.0
38874.0,92.2
40920.0,171.0
42966.0,169.0
45012.0,152.0
47058.0,123.0
49104.0,150.0
51150.0,12.4
53196.0,174.0
55242.0,104.0
57288.0,153.0
59334.0,47.6
61380.0,158.0
63426.0,163.0
65472.0,154.0
67518.0,175.0
69564.0,200.0
71610.0,195.0
73656.0,200.0
75702.0,205.0
77748.0,207.0
79794.0,126.0
81840.0,206.0
83886.0,211.0
85932.0,224.0
87978.0,234.0
90024.0,250.0
92070.0,255.0
94116.0,237.0
96162.0,273.0
98208.0,282.0
100254.0,258.0
102300.0,288.0
104346.0,289.0
106392.0,312.0
108438.0,311.0
110484.0,317.0
112530.0,299.0
114576.0,310.0
116622.0,301.0
118668.0,320.0
120714.0,331.0
122760.0,337.0
124806.0,327.0
126852.0,333.0
128898.0,341.0
130944.0,347.0
132990.0,343.0
135036.0,345.0
137082.0,357.0
139128.0,357.0
141174.0,354.0
143220.0,363.0
145266.0,356.0
147312.0,361.0
149358.0,353.0
151404.0,359.0
153450.0,369.0
155496.0,372.0
157542.0,370.0
159588.0,371.0
161634.0,381.0
163680.0,377.0
165726.0,379.0
167772.0,378.0
169818.0,368.0
171864.0,375.0
173910.0,374.0
175956.0,124.0
178002.0,359.0
180048.0,384.0
182094.0,384.0
184140.0,294.0
186186.0,326.0
188232.0,390.0
190278.0,384.0
192324.0,353.0
194370.0,385.0
196416.0,335.0
198462.0,337.0
200508.0,402.0
202554.0,387.0
204600.0,401.0
206646.0,401.0
208692.0,402.0
210738.0,344.0
212784.0,354.0
214830.0,396.0
216876.0,352.0
218922.0,298.0
220968.0,338.0
223014.0,301.0
225060.0,409.0
227106.0,407.0
229152.0,412.0
231198.0,235.0
233244.0,414.0
235290.0,414.0
237336.0,417.0
239382.0,355.0
241428.0,386.0
243474.0,386.0
245520.0,333.0
247566.0,353.0
249612.0,349.0
251658.0,420.0
